App_Name,CPU_Usage,Memory_Usage,Battery_Level,Temperature,Disk_Space,Network_Signal,App_Version,Error_Logs,Device_Model,Session_Time,Num_App_Crashes,Duration_Since_Last_Charge,App_Usage_Level,Crash_Label
Netflix,35.473619386724835,52.04842049998351,30.17243362794547,22.554280552103453,484.0924089197681,77.38257968923308,1.1,1,Model_C,183.22749491806752,1,34.09648478300121,Medium,0.0
Twitter,98.13270969142161,35.67544986890573,42.98703913684012,50.852821411387616,315.2578985171854,88.06608784415548,1.2,1,Model_C,171.33217870754717,2,25.197136275609797,Medium,1.0
Discord,61.31646533960891,60.20931973896786,33.43191100776127,42.38509233274684,13.540148146397371,26.112746155908027,1.2,0,Model_B,165.09960271081505,1,32.86911628842673,Low,0.0
Slack,86.2088300379865,52.38556186290234,65.4549583007451,48.85978909254861,333.1676810857986,9.509666934911397,1.2,0,Model_A,157.09769398048493,1,16.23827729235363,Low,0.0
Amazon,77.26646744811264,57.531208824408765,3.687373178577118,47.114118362603826,483.71284116554153,13.691955288560987,2.0,1,Model_B,151.32403837055764,2,44.96068177238337,Low,0.0
Spotify,71.29050208980584,41.832654747525325,91.01138250926675,40.303975481881146,183.62419822251292,79.28035347662441,1.1,1,Model_B,163.55117573762558,2,3.09748895038892,High,0.0
Discord,48.86196627811485,54.236013959261484,40.758088623351455,30.789369160036618,477.98050764027715,43.582691131962584,1.0,1,Model_B,180.5816334113517,1,26.185949210932492,Medium,0.0
Snapchat,39.6160823085061,60.348682321528095,89.43269400715917,32.02793373000346,343.35735051094866,13.191465841072292,2.0,1,Model_B,159.57508224839427,1,4.1950164490423045,Medium,0.0
Netflix,69.36838481521553,43.16266348155843,56.061084826163885,42.27889939298323,97.19576711055572,34.028820641962454,2.0,1,Model_B,194.5169306444525,2,21.25281772977266,Medium,0.0
Lyft,47.888525216279824,56.326176894050214,71.49919121864916,32.94886983786605,74.39646059828436,51.4235482853053,2.0,1,Model_A,179.74397831765637,1,12.363953167335834,Medium,0.0
Instagram,78.33578786256105,55.413910203933554,5.05970058846941,44.93698009012641,90.2653945299453,85.20516838450082,2.0,0,Model_C,142.837954127067,2,44.971365579967085,High,0.0
Netflix,37.41993299119976,52.099518742096464,96.92583708615625,25.27492758997108,358.0029821597906,64.1743254225175,1.1,0,Model_A,171.49812142845136,1,0.6276185465252837,High,0.0
Amazon,63.689341024583904,78.87630053207059,59.49091072831684,40.72762202772222,301.83489858016355,17.603280108000074,1.2,0,Model_A,166.83110780923832,1,18.77777429478994,Medium,0.0
Amazon,,76.48097427028657,23.058098585516984,35.83913875919427,233.23830835021448,15.870271235833645,1.0,0,Model_B,168.31066905469237,1,37.53805198593382,Medium,0.0
Spotify,85.92122631782742,56.74012216530322,82.2800726736857,47.85764300401892,134.83762093162449,41.23342156333225,1.0,1,Model_C,168.2963599984968,2,9.046147807270357,Low,0.0
Snapchat,83.42819673146987,48.16314563265777,19.38914234723667,46.99579514804552,464.50237849145947,7.519284770175638,2.0,1,Model_A,182.4964889685374,2,39.14823382398014,Medium,0.0
Twitter,72.39251943157139,56.150091435560455,15.205286393634365,42.808443626161186,109.43666955926903,75.5577195283873,2.0,1,Model_A,175.80196886681583,1,41.26680421559154,High,0.0
Spotify,74.15763097559409,67.27321966462858,30.10810824388799,41.79254374694762,145.20638354226645,40.145382030377206,1.1,0,Model_C,163.38369615457776,1,33.98414398299696,Medium,0.0
Spotify,71.72635884048391,53.00501027727804,78.72333825156278,40.38458206629108,28.11809108662402,34.302377278139026,2.0,0,Model_A,170.47008343895737,1,10.035320756456198,Medium,0.0
Instagram,70.23860922732761,52.90517927766882,72.9481591578207,40.42532092542659,140.9665555869433,50.910833239143585,1.0,1,Model_C,169.60831375674326,2,13.057855515914992,Low,0.0
YouTube,98.73678370450465,65.7398147360218,80.59119057660507,53.047699121563824,472.52361047828697,70.89568037628477,1.0,0,Model_A,163.25761954035173,1,8.012866977377374,High,1.0
Snapchat,73.17368964480225,60.26750317067046,81.131758788837,37.282963686118585,96.05325990681592,56.93469444930521,1.2,0,Model_B,173.68120890269475,2,8.835059385667185,Low,0.0
Facebook,88.29674397224632,54.60333902447515,99.63324196804255,52.898111497593035,104.4289918042702,80.24027817219871,1.2,1,Model_C,174.03516769524197,2,1.7516302308180158,Medium,1.0
Spotify,60.0376340557162,57.46763856926455,15.810645124522653,37.49033356188409,307.18842698587696,62.936256387011746,1.0,1,Model_A,155.11003179696135,0,41.15112389751679,Low,0.0
